period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;primary_value_deflated_exp;primary_value_deflated_imp;net_wgt_exp;net_wgt_imp
2004;01;Spain;30;60;14212658.27;260437243.523;16919831.273809522;308940976.8956109;123335137.0;2376555431.15
2004;01;Sweden;34;41;112818518.0;537444651.0;129825682.3935558;631544830.787309;1483600000.0;8804168089.0
2004;01;Switzerland;33;37;123907705.709;21810125.535;132238746.75453575;23940862.277716797;1341690814.0;191955682.0
2004;01;Türkiye;23;46;166596.0;169210009.0;203662.59168704157;225312928.0958722;866034.0;1458797854.0
2004;01;USA;105;70;1447169156.0;217769919.0;1731063583.7320576;263643969.7336562;0.0;0.0
2004;01;Ukraine;47;10;128964450.0;8126310.0;178374066.3900415;10734887.714663142;2135552187.0;117721230.0
2004;01;United Kingdom;35;62;36716759.0;124244585.0;42793425.40792541;141669994.29874572;230651793.0;446938030.0
2004;01;Viet Nam;14;51;9603540.0;179177422.0;17303675.675675675;253433411.5983027;0.0;0.0
2005;01;Austria;31;38;79439613.0;598757953.0;88958133.25867862;678095077.0101926;678042700.0;7248925500.0
2005;01;Belgium;57;48;98418260.0;151139986.0;114974602.80373833;171945376.56427756;0.0;0.0
2005;01;Canada;61;28;506730021.0;424001471.0;549598721.2581345;477479134.009009;0.0;0.0
2005;01;China;33;84;1886675.0;3241484810.0;1971447.2309299894;3621770737.4301677;0.0;0.0
2005;01;Czechia;25;44;176958410.0;71827339.0;192555397.17083785;78758047.1491228;2066370301.0;795343879.0
2005;01;Estonia;20;21;95750844.65;105729597.24;114261151.13365155;124095771.4084507;1579275293.9;1565813015.9
2005;01;Finland;40;22;64258384.0;804379059.0;70304577.68052515;903796695.505618;607787569.0;13771421152.0
2005;01;France;59;63;260403724.0;283915714.0;304209957.9439252;319365257.59280086;2633628100.0;1561160900.0
2005;01;Gabon;40;2;297756472.0;2735.0;354894483.90941596;3364.083640836409;1241030888.0;163.0
2005;01;Germany;72;72;503628000.0;310015000.0;571654937.5709422;341802646.0859978;5842447700.0;2349779400.0
2005;01;India;37;76;2189180.0;837852434.0;2888100.263852243;993893753.262159;0.0;0.0
2005;01;Italy;54;71;6855552.477;480088754.144;7907211.62283737;551826154.1885058;11689423.0;3629622170.0
2005;01;Japan;15;57;3010048.0;1697992665.0;2645033.3919156413;1867978729.3729372;20919164.0;8964109745.0
2005;01;Latvia;19;15;180148506.268;65458526.257999994;210946728.65105388;69710890.58359957;3415372353.0;917580510.0
2005;01;Malaysia;48;27;569473574.0;24942753.0;537239220.754717;25928017.67151767;0.0;0.0
2005;01;New Zealand;25;15;304191032.0;1948045.0;370512828.2582217;2221259.9771949826;5092831319.0;2654988.0
2005;01;Norway;17;24;28588916.415;199901760.41599998;27384019.554597702;223603758.85458612;428887509.0;2597482484.0
