period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2018;05;227;53;131;43;80843938872.9416;37378373357.770065;53421902215.40798;23568941542.513058;4536615229.035998;1285894438.8820019;22885421428.497578;12523537376.375025;2482758858.0034995;1412059180.1795;51465831012.61201;23638643603.59697;26895349002.32598;12327670573.993513
2019;05;226;47;131;48;88124076170.37802;36508636929.70551;59949788162.697464;24132811935.264973;5238868565.872997;1471752646.387998;22935419441.8075;10904072348.05251;3402826763.3705006;1699393509.5359998;54603535906.61697;21316869526.525993;30117713500.390476;13492373893.64347
2020;05;230;51;135;44;86936672900.73886;37460238630.019875;60911125375.862465;24723338574.960953;2183101279.9139996;1202092120.1065009;23842446244.962517;11534807934.952478;2527573739.575499;1420248749.8679984;50740554768.975075;20090009622.583984;33668544392.188515;15949980257.568033
2021;05;226;47;134;45;92106107100.7876;55513714366.05284;63076884301.72963;35847698285.66145;6213256292.509498;5071474286.657997;22815966506.54852;14594541793.733545;2600273790.143997;1810345317.0449991;70315082442.91354;41377288574.118835;19190750867.729996;12326080474.88899
2022;05;227;50;135;42;78576541340.65935;51770659689.5691;53581192129.09898;33492264175.701454;1977240919.9709997;1597382865.922499;23018108291.589508;16681012647.944986;2764151872.386499;2007416268.1500013;45145719946.557045;26960869908.741043;30666669521.71601;22802373512.678
2023;05;226;41;137;48;68342065178.90147;37176023046.05103;45824074534.492966;23458443722.32199;1249307745.5075014;1038705868.2474995;21268682898.900978;12678873455.481464;2028549491.5834994;1388991416.8225021;40543033870.38048;19911668536.825985;25770481816.937508;15875363092.402502
1996;07;211;28;127;56;22537439331.0;14710269099.5;11367753777.0;8768943372.5;1524743520.0;494575148.0;9644942034.0;5446750579.0;1766787692.0;509109507.5;9250020249.5;7014683867.5;11520631389.5;7186475724.5
1997;07;209;24;130;55;23908401727.0;15084490105.0;10945617721.0;8447802040.5;1411258008.0;564157061.0;11551525998.0;6072531003.5;653399625.5;508265463.0;9322831832.5;6888774690.0;13932170269.0;7687449952.0
1998;07;209;25;126;58;22898634342.5;13531513409.5;10630253464.0;6691185447.5;400008750.0;377916572.0;11868372128.5;6462411390.0;543846960.0;433129538.5;6483957033.5;4631828487.0;15870830349.0;8466555384.0
1999;07;212;23;131;58;24286071941.5;14965554576.5;11970259624.0;8348168705.5;981253111.0;1046204710.0;11334559206.5;5571181161.0;696329278.0;510177325.5;12044025428.0;8681483575.5;11545717235.5;5773893675.5
