period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2019;05;net_wgt;71492366344.054;60344878972.429;0.16930743033973414;0.2170393469891413;2.2817769915879835;2.2932468101269095
2020;05;net_wgt;68746478686.983;62536077679.521996;0.16741263452014302;0.20276655132812924;2.2824428424162364;2.2948450062541372
2021;05;net_wgt;73003756215.81999;65696942525.526;0.17387604371084991;0.18931568397238221;2.27436662306223;2.3718547666765093
2022;05;net_wgt;46946482323.641;56259115753.431;0.19696793166932355;0.18241290526911386;2.227361374089011;2.4316168872817374
2023;05;net_wgt;40589695249.024;47576485197.313;0.17788128192413047;0.20094083699236906;2.2926349853019516;2.4037330640215253
1996;07;net_wgt;10690947692.0;13703544397.0;0.24619505467697048;0.13325454186710617;2.04669954437828;2.436613144661069
1997;07;net_wgt;11264433435.0;13275582222.0;0.20627626965817222;0.13298418284802074;2.217095794771261;2.5691238421901543
1998;07;net_wgt;10922140671.0;11112606862.0;0.2223308266840424;0.1927295888810402;2.1823356418262176;2.4291447245887845
1999;07;net_wgt;11170003892.0;12408188559.0;0.19611107711673015;0.189031878605;2.232249324193407;2.41767717252098
2000;07;net_wgt;15463755918.871;18566049328.849;0.13110905681090734;0.1497195253880225;2.5307645271840213;2.6182191173973335
2001;07;net_wgt;16097090825.8;19823624104.65;0.12989486234490005;0.14121500611756257;2.5406592602428124;2.7024511417735573
2002;07;net_wgt;19981237601.894;22863012797.183;0.11222670328250209;0.15748482645948475;2.6530427629245303;2.64181674425602
2003;07;net_wgt;24812402456.275;25455722662.693;0.15256940417304238;0.15926882698850356;2.4252411017903888;2.6859090763963516
2004;07;net_wgt;31047681468.841;32501062884.378;0.12612139734636496;0.15271300305922644;2.5718823526775014;2.676476353218031
2005;07;net_wgt;32060763931.041;30994801085.101;0.11726815288804604;0.16431950143790688;2.6011424043395905;2.7684708874945687
2006;07;net_wgt;32599079444.22;32051207280.635;0.10628238895922242;0.1477252449777871;2.6348279431856394;2.8680590235815346
2007;07;net_wgt;15274384449.316;17520389654.044;0.1410457668814268;0.11958594090247456;2.3433978360843555;2.665519903204756
2008;07;net_wgt;22784531049.824;23922736302.749;0.1382317201978864;0.09357094680713755;2.4242023416510365;3.011183688103431
2009;07;net_wgt;20348750093.224;34121318259.04;0.11595115499228821;0.24943621323132395;2.551645438503346;2.3815592203851974
2010;07;net_wgt;26259160119.307;23981764983.828;0.118345998435513;0.07609884293918937;2.5306015423159343;3.2653118062189215
